symbol,date,open,high,low,close,volume
GXH.NZ,2024-04-22,1.02,1.02,1,1.01,47162
GXH.NZ,2024-04-23,1,1,0.99,0.99,44067
GXH.NZ,2024-04-24,0.99,0.99,0.98,0.98,12447
GXH.NZ,2024-04-26,1,1,1,1,5308
GXH.NZ,2024-04-29,0.99,1,0.99,1,5757
GXH.NZ,2024-04-30,1.01,1.01,1.01,1.01,2905
GXH.NZ,2024-05-01,1,1,1,1,4521
GXH.NZ,2024-05-02,0.99,0.99,0.99,0.99,8274
GXH.NZ,2024-05-03,0.99,1,0.99,1,571
GXH.NZ,2024-05-06,1.01,1.02,1,1,5410
GXH.NZ,2024-05-07,0.99,0.99,0.99,0.99,1783
GXH.NZ,2024-05-08,1.01,1.02,1.01,1.02,2484
GXH.NZ,2024-05-09,0.99,1,0.98,1,4948
GXH.NZ,2024-05-10,1.02,1.03,1.01,1.03,10688
GXH.NZ,2024-05-13,1.02,1.02,1.01,1.01,1523
GXH.NZ,2024-05-14,0.99,0.99,0.99,0.99,382
GXH.NZ,2024-05-15,1,1.01,0.99,0.99,6106
GXH.NZ,2024-05-16,1,1,0.99,0.99,4214
GXH.NZ,2024-05-17,0.99,0.99,0.99,0.99,3417
GXH.NZ,2024-05-20,1.02,1.02,1,1.02,2834
GXH.NZ,2024-05-21,1.02,1.02,1,1,3364
GXH.NZ,2024-05-22,1,1.01,1,1,8363
GXH.NZ,2024-05-23,0.99,1,0.99,0.99,2914
GXH.NZ,2024-05-24,1.01,1.01,0.99,1.01,2578
GXH.NZ,2024-05-26,0.99,0.99,0.99,0.99,776
GXH.NZ,2024-05-27,0.99,0.99,0.99,0.99,813
GXH.NZ,2024-05-28,1,1.01,1,1,3245
GXH.NZ,2024-05-29,1,1.01,1,1.01,988
GXH.NZ,2024-05-30,1,1.01,0.98,0.98,63546
GXH.NZ,2024-05-31,0.98,0.98,0.98,0.98,6240
GXH.NZ,2024-06-04,0.98,0.98,0.98,0.98,16840
GXH.NZ,2024-06-05,0.98,0.98,0.98,0.98,3714
GXH.NZ,2024-06-06,0.97,0.97,0.97,0.97,11611
GXH.NZ,2024-06-07,0.96,0.96,0.93,0.93,9974
GXH.NZ,2024-06-10,0.92,0.92,0.91,0.91,4638
GXH.NZ,2024-06-11,0.92,0.92,0.92,0.92,216
GXH.NZ,2024-06-12,0.9,0.9,0.9,0.9,14215
GXH.NZ,2024-06-13,0.89,0.9,0.89,0.9,3311
GXH.NZ,2024-06-14,0.89,0.89,0.89,0.89,554
GXH.NZ,2024-06-17,0.88,0.88,0.88,0.88,4938
GXH.NZ,2024-06-18,0.87,0.87,0.86,0.86,19870
GXH.NZ,2024-06-19,0.85,0.85,0.84,0.84,5190
GXH.NZ,2024-06-20,0.83,0.83,0.81,0.81,5323
GXH.NZ,2024-06-21,0.8,0.8,0.79,0.79,49474
GXH.NZ,2024-06-24,0.78,0.78,0.77,0.77,23384
GXH.NZ,2024-06-25,0.77,0.77,0.75,0.75,18593
GXH.NZ,2024-06-26,0.73,0.74,0.71,0.74,113425
GXH.NZ,2024-06-27,0.72,0.72,0.71,0.71,43956
GXH.NZ,2024-07-01,0.73,0.74,0.73,0.74,9863
GXH.NZ,2024-07-02,0.73,0.74,0.73,0.74,28533
GXH.NZ,2024-07-03,0.75,0.76,0.74,0.74,13763
GXH.NZ,2024-07-04,0.75,0.75,0.74,0.74,4762
GXH.NZ,2024-07-05,0.74,0.75,0.73,0.75,13290
GXH.NZ,2024-07-08,0.75,0.77,0.75,0.77,28540
GXH.NZ,2024-07-09,0.79,0.8,0.79,0.8,12375
GXH.NZ,2024-07-10,0.81,0.82,0.81,0.82,17005
GXH.NZ,2024-07-11,0.83,0.83,0.83,0.83,1099
GXH.NZ,2024-07-12,0.84,0.86,0.83,0.86,18373
GXH.NZ,2024-07-15,0.86,0.86,0.83,0.83,9585
GXH.NZ,2024-07-16,0.82,0.82,0.81,0.81,2317
GXH.NZ,2024-07-17,0.79,0.79,0.77,0.78,58893
GXH.NZ,2024-07-18,0.8,0.81,0.8,0.81,19147
GXH.NZ,2024-07-19,0.82,0.85,0.82,0.85,2183
GXH.NZ,2024-07-22,0.85,0.86,0.83,0.83,4387
GXH.NZ,2024-07-23,0.86,0.86,0.84,0.84,4663
GXH.NZ,2024-07-24,0.88,0.88,0.87,0.87,7695
